Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
10168,Oc1cc(cc2c1C(=O)c1c(C2=O)cccc1O)C(=O)O,C15H8O6,284.22,21,12,0.00,1,6,3,70.75,111.90,1.28,2.23,1.57,0.29,1.96,1.47,-3.36,1.23e-01,4.33e-04,Soluble,-4.22,1.73e-02,6.09e-05,Moderately soluble,-3.46,9.79e-02,3.44e-04,Soluble,High,No,No,No,No,No,No,No,-6.45,0,0,0,0,0,0.56,1,0,0,2.58
10208,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,C15H10O4,254.24,19,12,0.07,0,4,2,68.76,74.60,2.22,3.53,2.18,0.92,3.04,2.38,-4.11,1.98e-02,7.81e-05,Moderately soluble,-4.78,4.21e-03,1.66e-05,Moderately soluble,-4.49,8.32e-03,3.27e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-5.34,0,0,0,0,0,0.55,1,0,1,2.47
108065,COc1c(O)cc(cc1O)C1Oc2c(C[C@H]1O)c(O)cc(c2[C@@H]1[C@@H](O)[C@H](Oc2c1c(O)cc(c2)O)c1ccc(cc1)O)O,C31H28O12,592.55,43,24,0.23,4,12,9,151.18,209.76,2.17,2.69,2.65,-0.07,1.70,1.83,-5.36,2.60e-03,4.39e-06,Moderately soluble,-6.75,1.06e-04,1.79e-07,Poorly soluble,-4.60,1.50e-02,2.52e-05,Moderately soluble,Low,No,No,No,No,No,No,Yes,-8.00,3,3,1,1,3,0.17,0,0,1,5.45
222284,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,5.05,9.34,8.02,6.73,7.04,7.24,-7.90,5.23e-06,1.26e-08,Poorly soluble,-9.67,8.90e-08,2.15e-10,Poorly soluble,-6.19,2.69e-04,6.49e-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.20,1,3,0,1,2,0.55,0,1,2,6.30
443639,Oc1ccc(cc1)[C@H]1Oc2cc(O)cc(c2C[C@H]1O)O,C15H14O5,274.27,20,12,0.20,1,5,4,72.31,90.15,1.51,0.72,1.52,0.79,1.47,1.20,-2.37,1.16e+00,4.25e-03,Soluble,-2.19,1.76e+00,6.43e-03,Soluble,-2.72,5.19e-01,1.89e-03,Soluble,High,No,Yes,No,No,No,No,No,-7.46,0,0,0,0,0,0.55,0,0,0,3.39
5280378,COc1ccc(cc1)c1coc2c(c1=O)ccc(c2)O,C16H12O4,268.26,20,16,0.06,2,4,1,76.43,59.67,2.49,2.80,3.17,1.33,3.52,2.66,-3.73,5.03e-02,1.87e-04,Soluble,-3.71,5.23e-02,1.95e-04,Soluble,-5.68,5.58e-04,2.08e-06,Moderately soluble,High,Yes,No,Yes,No,No,Yes,Yes,-5.95,0,0,0,0,0,0.55,0,0,0,2.81
5280441,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O,C21H20O10,432.38,31,16,0.29,3,10,7,106.61,181.05,1.63,0.21,-0.23,-2.02,0.33,-0.02,-2.84,6.29e-01,1.46e-03,Soluble,-3.57,1.16e-01,2.68e-04,Soluble,-2.38,1.81e+00,4.20e-03,Soluble,Low,No,No,No,No,No,No,No,-8.79,1,0,1,1,2,0.55,0,0,1,5.12
5280443,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,C15H10O5,270.24,20,16,0.00,1,5,3,73.99,90.90,1.89,3.02,2.58,0.52,2.52,2.11,-3.94,3.07e-02,1.14e-04,Soluble,-4.59,6.88e-03,2.55e-05,Moderately soluble,-4.40,1.07e-02,3.94e-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-5.80,0,0,0,0,0,0.55,0,0,0,2.96
5280445,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,C15H10O6,286.24,21,16,0.00,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,2.03,1.73,-3.71,5.63e-02,1.97e-04,Soluble,-4.51,8.84e-03,3.09e-05,Moderately soluble,-3.82,4.29e-02,1.50e-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.25,0,0,0,0,0,0.55,1,1,0,3.02
5280804,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,C21H20O12,464.38,33,16,0.29,4,12,8,110.16,210.51,0.94,0.36,-0.54,-2.59,-0.59,-0.48,-3.04,4.23e-01,9.10e-04,Soluble,-4.35,2.10e-02,4.51e-05,Moderately soluble,-1.51,1.43e+01,3.08e-02,Soluble,Low,No,No,No,No,No,No,No,-8.88,2,1,1,1,3,0.17,1,1,1,5.32
