Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
10026486,CC(=O)OC[C@@H](NC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)Cc1ccccc1,C27H28N2O4,444.52,33,18,0.22,13,4,2,126.35,84.50,3.49,4.45,3.32,3.41,4.73,3.88,-4.95,5.04e-03,1.13e-05,Moderately soluble,-5.94,5.06e-04,1.14e-06,Moderately soluble,-8.70,8.87e-07,2.00e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.85,0,0,1,0,0,0.55,0,0,3,3.65
12308714,CC(=O)O[C@@H]1C[C@@H]2[C@]([C@@H]3[C@]1(C)C1=CC(=O)[C@H]([C@@]1(CC3)C)c1ccoc1)(C)C=CC(=O)C2(C)C,C28H34O5,450.57,33,5,0.61,3,5,0,125.48,73.58,3.17,4.82,5.42,3.28,5.00,4.34,-5.58,1.17e-03,2.60e-06,Moderately soluble,-6.10,3.59e-04,7.98e-07,Poorly soluble,-6.31,2.23e-04,4.94e-07,Poorly soluble,High,No,Yes,No,No,No,No,No,-5.63,0,0,0,0,0,0.55,0,0,2,5.89
12309055,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@@H]2CC=C2[C@@]1(C)CC[C@@H](C2)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)C,C35H60O6,576.85,41,0,0.94,9,6,4,165.61,99.38,5.22,7.74,5.85,3.96,5.02,5.56,-7.70,1.15e-05,2.00e-08,Poorly soluble,-9.67,1.23e-07,2.14e-10,Poorly soluble,-4.40,2.28e-02,3.94e-05,Moderately soluble,Low,No,No,No,No,No,No,No,-4.32,1,4,0,0,1,0.55,0,1,3,8.02
124017,Oc1cc(O)c2c(c1)O[C@@H]([C@@H]([C@H]2c1c(O)cc2c(c1O)C[C@H]([C@H](O2)c1ccc(c(c1)O)O)O)O)c1ccc(c(c1)O)O,C30H26O12,578.52,42,24,0.20,3,12,10,146.71,220.76,2.07,2.37,2.35,-0.26,1.14,1.53,-5.14,4.15e-03,7.17e-06,Moderately soluble,-6.65,1.31e-04,2.26e-07,Poorly soluble,-3.91,7.05e-02,1.22e-04,Soluble,Low,No,No,No,No,No,No,Yes,-8.15,3,2,1,1,3,0.17,1,1,1,5.29
2703,COc1c(OC)ccc2c1c[n+](C)c1c2ccc2c1cc1OCOc1c2,C21H18NO4+,348.37,26,18,0.19,2,4,0,101.60,40.80,0.22,4.58,3.72,2.53,4.08,3.02,-5.27,1.89e-03,5.42e-06,Moderately soluble,-5.16,2.41e-03,6.91e-06,Moderately soluble,-6.59,9.02e-05,2.59e-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,No,Yes,-5.17,0,0,0,0,0,0.55,0,2,1,2.77
442009,O=C1O[C@H]2C[C@@H]3[C@]1(CCCC3(C)C)c1c2cc(c(c1O)O)C(C)C,C20H26O4,330.42,24,6,0.65,1,4,2,92.83,66.76,2.93,4.38,3.96,3.25,4.05,3.72,-4.77,5.65e-03,1.71e-05,Moderately soluble,-5.50,1.05e-03,3.17e-06,Moderately soluble,-4.45,1.16e-02,3.52e-05,Moderately soluble,High,Yes,Yes,No,No,Yes,No,No,-5.21,0,0,0,0,0,0.55,1,1,1,4.88
444170,O[C@@H]1[C@H](O)[C@H](O[C@H]1c1cccc(n1)C(=O)N)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)O)O,C21H27N7O14P2,663.43,44,15,0.48,11,18,8,140.12,346.89,1.04,-5.92,-3.01,-5.33,-5.62,-3.77,0.25,1.18e+03,1.78e+00,Highly soluble,-0.69,1.35e+02,2.03e-01,Very soluble,1.20,1.05e+04,1.59e+01,Soluble,Low,No,No,No,No,No,No,No,-14.55,3,4,2,1,5,0.11,0,1,2,6.13
5280343,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,C15H10O7,302.24,22,16,0.00,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.54,1.23,-3.16,2.11e-01,6.98e-04,Soluble,-3.91,3.74e-02,1.24e-04,Soluble,-3.24,1.73e-01,5.73e-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-7.05,0,0,0,0,0,0.55,1,1,0,3.23
5280794,CC[C@@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H48O,412.69,30,0,0.86,5,1,1,132.75,20.23,5.08,8.56,7.80,6.62,6.86,6.98,-7.46,1.43e-05,3.46e-08,Poorly soluble,-8.86,5.71e-07,1.38e-09,Poorly soluble,-5.47,1.40e-03,3.39e-06,Moderately soluble,Low,No,No,No,No,Yes,No,No,-2.74,1,3,0,1,2,0.55,0,1,2,6.21
5280805,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,C27H30O16,610.52,43,16,0.44,6,16,10,141.38,269.43,0.46,-0.33,-1.69,-3.89,-2.11,-1.51,-3.30,3.08e-01,5.05e-04,Soluble,-4.87,8.30e-03,1.36e-05,Moderately soluble,-0.29,3.15e+02,5.15e-01,Soluble,Low,No,Yes,No,No,No,No,No,-10.26,3,4,1,1,4,0.17,1,1,1,6.52
