Ligand Name, Binding Affinity (kcal/mol)
Beta-Bisabolene_10104370,-5.911
Cadalene_10225,-6.677
Elemicin_10248,-5.461
Carvacrol_10364,-5.531
Oplopanone_10466745,-6.055
Apiole (parsley)_10659,-6.178
alpha-Selinene_10856614,-6.47
Viridiflorene_10910653,-5.966
Myrcenol_10975,-4.532
Cubebol_11276107,-6.823
Viridiflorol_11996452,-5.976
Pinocarvone_121719,-5.364
alpha-Calacorene_12302243,-6.313
"Alpha-muurolene, (-)-_12306047",-6.42
alpha-Campholenal_1252759,-5.124
Sterculic acid_12921,-5.328
Geranyl acetate_1549026,-5.615
Coniferyl Alcohol_1549095,-5.518
"1-[4,6-Dihydroxy-2-methoxy-3-(3-methylbut-2-enyl)phenyl]ethanone_15558323",-6.479
Alpha-Terpineol_17100,-5.426
D-Mannose_18950,-5.368
"Limonene, (+-)-_22311",-4.952
Bergapten_2355,-6.474
3-Carene_26049,-5.042
Thujone_261491,-5.384
Coumarin_323,-6.146
Gallic Acid_370,-5.631
Quisqualic Acid_40539,-6.035
Allo-Aromadendrene_42608158,-6.211
Myristicin_4276,-6.104
Levomenol_442343,-6.619
Thujopsene_442402,-6.538
Pulegone_442495,-5.75
"trans,trans-Farnesol_445070",-5.794
Oleic Acid_445639,-5.262
Safrole_5144,-5.577
Scopoletin_5280460,-6.576
"beta-OCIMENE, (3E)-_5281553",-4.658
Methyl linoleate_5284421,-5.725
Lysophosphatidylcholines_5311264,-5.664
"beta-Farnesene, (6Z)-_5317319",-5.344
Humulene epoxide_5352470,-6.085
"(2R,3S,4S)-2,3,4,5-tetrahydroxypentanal_5460291",-4.903
Trigonelline_5570,-5.129
Furfuryl propionate_61166,-5.063
Methyl rhodinolate_61290,-5.487
Mannitol_6251,-5.307
p-Coumaric acid_637542,-5.861
Geraniol_637566,-5.14
Citral_638011,-5.03
Nerol_643820,-5.129
CID 6451618_6451618,-4.884
"Linalool, (+-)-_6549",-5.023
Camphene_6616,-4.943
alpha-PINENE_6654,-4.935
Protoanemonin_66948,-4.384
Perillene_68316,-5.255
Piperitone_6987,-5.235
Thymol_6989,-5.647
Methyleugenol_7127,-5.615
Acetophenone_7410,-4.914
p-CYMENE_7463,-4.942
Anisole_7519,-4.673
Benzyl butyrate_7650,-5.475
Citronellal_7794,-4.795
Tricyclene_79035,-4.771
1-Tridecanol_8207,-4.17
Vanillic Acid_8468,-5.561
Estragole_8815,-4.835
"5-Azulenemethanol, 1,2,3,3a,4,5,6,7(or 1,2,3,4,5,6,7,8)-octahydro-alpha,alpha,3,8-tetramethyl-_90785",-6.369
Aromadendrene_91354,-5.752
alpha-Curcumene_92139,-5.604
Spathulenol_92231,-6.062
Oxalic Acid_971,-4.306
Palmitic Acid_985,-4.393
