Ligand Name, Binding Affinity (kcal/mol)
Asperglaucide_10026486,-8.164
Azadiradione_12308714,-8.143
beta-Sitosterol-beta-D-glucoside_12309055,-8.7
Procyanidin B5_124017,-9.59
Chelerythrine_2703,-8.357
Carnosol_442009,-8.086
Fenugreekine_444170,-8.643
Quercetin_5280343,-8.214
Stigmasterol_5280794,-8.214
Rutin_5280805,-8.893
Kaempferol_5280863,-8.164
Myricetin_5281672,-8.234
Afzelin_5316673,-8.11
Sophoraflavanone G_72936,-8.695
alpha-Amyrin_73170,-8.163
Corilagin_73568,-8.816
Taraxerol_92097,-8.279
